Country_Code,Country_Name,Year,age_dependency_ratio,agricultural_land,exports,fertility_rate,gdp_current,gdp_growth,labor_force,life_expectancy,manufacturing,natural_resources,primary_energy_consumption,population,Total.including.LUCF,deaths_air_pollute,Total.excluding.LUCF
GIN,Guinea,1/1/90,91.04148909,57.54924304,828699063.7,6.627,2666750686,4.324062755,2292615,47.004,126129510.3,22.11384404,1006.10754,6354145,19409999.85,289.81,8409999.847
GNB,Guinea-Bissau,1/1/90,109.713525,20.57859175,24240037.93,6.507,243961995.5,6.099999986,296155,47.084,19185920.79,18.08760891,1161.9926,973551,3190000.057,346.9,1419999.957
GNQ,Equatorial Guinea,1/1/90,82.54890659,8.301247772,void,5.987,112119406.5,-1.758564085,156528,50.86,void,20.96668378,1092.6594,465549,4010000.229,306.68,170000.0018
GRC,Greece,1/1/90,49.72398803,71.54383243,14466921754,1.39,97891092003,0,4160821,76.93902439,void,0.242344195,27888.309,10196792,94309997.56,49.99,95220001.22
GRD,Grenada,1/1/90,78.05882141,38.23529412,void,3.489,278098763,4.012611898,void,70.683,11849674.81,0,5306.143,99047,1840000.033,110.82,1840000.033
GTM,Guatemala,1/1/90,95.85411326,39.98693542,1608631682,5.48,7650125217,3.102563176,3072161,62.473,1151419680,1.867087045,2580.3914,9050115,27879999.16,210.33,11300000.19
GUY,Guyana,1/1/90,68.14818149,5.500889002,248683534.2,3.069,396582263.3,-3.067484664,277460,62.415,18050632.91,23.13653029,3649.2754,747116,9609999.657,149.9,2609999.895
HND,Honduras,1/1/90,97.87531728,29.67199929,1561384393,5.291,4923009552,2.79174895,1791667,65.243,1060479515,3.210923332,3420.6929,5053234,17219999.31,120.25,11329999.92
HRV,Croatia,1/1/90,46.19004895,42.99767483,void,1.63,void,void,2169516,72.1704878,void,void,20611.246,4777368,27729999.54,94.6,28569999.69
HTI,Haiti,1/1/90,85.32809533,57.94629898,368773800,5.483,3096289800,1.038122802,2675080,52.975,424681800,0.75898065,593.3897,6925331,5400000.095,312.86,5329999.924
HUN,Hungary,1/1/90,50.60479349,72.03738734,void,1.87,void,void,4467050,69.31560976,void,void,31144.494,10373988,90720001.22,116.98,89099998.47
IDN,Indonesia,1/1/90,66.1056006,24.88614848,28982531190,3.098,1.06141E+11,7.224334601,77668472,63.181,21114601485,12.27416958,3294.7917,182159874,1226819946,163.32,476190002.4
IND,India,1/1/90,72.55431466,61.01628218,22639774912,4.045,3.20979E+11,5.533454561,292728675,58.652,53274803469,3.373719041,2643.1104,870452165,1002559998,280.55,1219550049
IRL,Ireland,1/1/90,62.88381579,82.00029032,26973256480,2.11,49305632408,8.466527516,1441683,74.84607317,void,0.327669487,33577.984,3513974,54020000.46,38.76,56479999.54
IRQ,Iraq,1/1/90,94.58654887,21.10341359,13888387097,5.884,1.80408E+11,57.81782834,4147362,58.435,6640967742,9.860528124,13462.373,17658381,120150001.5,172.89,120279998.8
ISL,Iceland,1/1/90,55.26275704,18.96259352,2144153418,2.3,6468736356,void,142823,78.03634146,void,0,85042.64,254826,3359999.895,11.03,3339999.914
ISR,Israel,1/1/90,67.62692434,26.75600739,17525346196,2.824,void,void,1900701,76.60731707,void,void,26885.531,4660000,44080001.83,49.18,44110000.61
ITA,Italy,1/1/90,45.9735756,57.25748869,2.15685E+11,1.33,1.18122E+12,1.985774943,23540980,76.97073171,2.36533E+11,0.090089362,32681.438,56719240,448750000,49.04,483260009.8
JAM,Jamaica,1/1/90,76.44289248,43.95198523,2207168708,2.854,4592224067,4.200535115,1084723,72.304,void,6.335396123,12493.724,2392030,9369999.886,74.29,9010000.229
JOR,Jordan,1/1/90,92.87571866,11.78830462,2489227060,5.478,4160162724,-0.275903906,731659,69.854,506252825.1,0.145104743,12111.728,3480587,18629999.16,101.18,18629999.16
JPN,Japan,1/1/90,43.41753659,15.61437191,3.20186E+11,1.54,3.13282E+12,4.840929057,64191083,78.83682927,void,0.035552777,42192.62,123478000,1106260010,20.11,1181920044
KAZ,Kazakhstan,1/1/90,59.12658311,82.03244805,void,2.72,26932729103,void,7810055,68.33658537,void,15.6690206,50954.355,16348000,295959991.5,128.88,296720001.2
KEN,Kenya,1/1/90,106.0535833,47.03587869,2202462462,6.129,8572359163,4.192050972,8597324,58.614,861802360.3,4.963898607,1551.4095,23162269,30649999.62,167.41,34979999.54
KHM,Cambodia,1/1/90,89.15437204,25.23793338,void,5.644,void,void,3922450,55.434,void,void,229.13377,8910808,24829999.92,307.4,16129999.16
KIR,Kiribati,1/1/90,78.094922,48.14814815,8053859.964,4.637,42931855.44,-0.869565217,void,60.917,291936.617,0.039813574,1004.5821,75124,39999.99911,323.17,39999.99911
KWT,Kuwait,1/1/90,67.67717115,7.912457912,8281249653,3.318,18427777778,void,665871,73.281,void,55.59267914,54624.38,1674938,39040000.92,92.96,39060001.37
LBN,Lebanon,1/1/90,69.11593079,59.13978495,510722596.7,3.295,2838485354,26.53316009,1009534,64.475,void,0.036039336,5810.4277,3593700,7289999.962,95.6,7269999.981
LBR,Liberia,1/1/90,88.02652773,25.88247508,void,6.37,void,void,960812,36.688,void,void,1087.0778,2209731,14380000.11,264.16,850000.0238
LBY,Libya,1/1/90,77.37499032,8.783545699,11467161017,4.966,28901836158,void,1161354,69.423,void,41.56670886,35140.617,4236983,87430000.31,90.84,87430000.31
LIE,Liechtenstein,1/1/90,40.98416899,43.75,void,void,1421466240,2.252870969,void,void,void,0,,28765,219999.9988,NA,200000.003
LKA,Sri Lanka,1/1/90,61.46105471,37.29867645,2424288567,2.517,8032551173,6.399995311,7242021,71.927,1076585135,0.467031774,1737.2019,17325769,28540000.92,135.52,23899999.62
LSO,Lesotho,1/1/90,86.95373846,76.44927536,void,4.759,596415104.5,6.045473329,768779,59.398,56802148.96,3.898981013,489.14743,1798997,1960000.038,210.71,1940000.057
LTU,Lithuania,1/1/90,50.22182862,54.06828334,void,2.03,void,void,1917884,71.16073171,void,void,53326.875,3697838,45750000,68.14,45069999.69
LUX,Luxembourg,1/1/90,44.22893878,void,12742102849,1.6,12778792854,5.319931127,157920,75.43831707,void,0.036206757,97439.53,381850,11550000.19,40.16,12189999.58
LVA,Latvia,1/1/90,49.98732811,40.65759236,void,2.02,void,void,1215439,69.27317073,void,void,32150.787,2663151,12420000.08,91.51,25420000.08
MAR,Morocco,1/1/90,77.31835701,67.98790052,7412029591,4.018,30180108562,3.411812226,7439483,62.448,5819810688,0.443621031,3368.051,24570814,31909999.85,127.17,36799999.24
MDA,Moldova,1/1/90,56.98911072,77.88256769,void,2.388,void,void,1191826,68.067,void,void,,2965978,37869998.93,156.5,38169998.17
MDG,Madagascar,1/1/90,93.55447276,62.46345909,505973443.3,6.161,3931334871,3.12890505,5587842,51.701,void,5.137165007,412.11603,11882762,54979999.54,264.01,25629999.16
MDV,Maldives,1/1/90,98.1668267,26.66666667,183761515.9,6.089,215043969.8,void,59255,63.578,void,0.021607664,1875.4272,224957,200000.003,197.17,200000.003
MEX,Mexico,1/1/90,75.92369197,54.09141182,48866100761,3.45,2.61254E+11,5.175768387,28964102,69.971,49992345517,7.360423578,15573.662,81720428,426290008.5,86.52,401750000
MHL,Marshall Islands,1/1/90,116.1425084,66.66666667,void,void,78476000,2.676246464,void,void,void,0,,46047,29999.99933,193.26,29999.99933
MKD,North Macedonia,1/1/90,49.87239203,51.39598899,1154602473,2.185,4699646643,void,863494,71.23380488,1410530035,0.004532288,14509.268,2044174,13899999.62,183.32,13899999.62
MLI,Mali,1/1/90,101.4136289,26.33032561,419815580.5,7.253,2681912149,-2.502395103,3346664,46.62,void,4.069106545,277.25122,8945026,17139999.39,253.7,15039999.96
MLT,Malta,1/1/90,51.02296665,40.625,1931606511,2.02,2547163582,6.291390958,135839,75.87997561,557416858,0,22185.451,354170,2529999.971,46.26,2529999.971
MMR,Myanmar,1/1/90,68.80726777,15.95617713,void,3.543,2036373523,3.248148014,19446398,56.661,void,2.311516848,626.5227,40099553,208110000.6,358.4,55650001.53
MNE,Montenegro,1/1/90,51.38938128,38.28996283,void,1.944,void,void,224759,75.56687805,void,void,,606372,4139999.866,108.46,4480000.019
MNG,Mongolia,1/1/90,82.46022936,81.20256821,467975940,4.232,2560785660,-3.184460178,762687,58.765,521598180,8.854495961,26418.062,2161433,34330001.83,258.57,29979999.54
MOZ,Mozambique,1/1/90,89.60762851,44.83837331,void,6.221,void,0.999992835,6249684,44.469,void,void,410.74274,13303459,83419998.17,257.52,18440000.53
MRT,Mauritania,1/1/90,93.37902647,38.47482294,545201152.4,6.056,1506914408,-1.771304533,510059,59.77,126872995.3,13.05299036,1984.4912,2006027,7170000.076,229.83,6769999.981
MUS,Mauritius,1/1/90,54.29382096,54.67980296,1723618259,2.32,2653480001,7.186736771,444567,69.40487805,547852121,0.03449796,7287.114,1058775,2279999.971,74.06,2299999.952
MWI,Malawi,1/1/90,98.99454164,44.7390751,void,6.809,1880771556,5.692294496,4132703,43.323,313137161.5,8.832855502,493.36633,9539665,11670000.08,246.98,3180000.067
MYS,Malaysia,1/1/90,66.89213915,20.56490641,32783097342,3.374,44024178343,9.008527138,6855680,71.307,10664719583,25.75956561,13757.189,17517054,197119995.1,90.06,80379997.25
NER,Niger,1/1/90,96.72507484,26.08905029,529264157.5,7.806,3512356353,-1.308478285,3504627,41.852,367734429.9,3.778280064,445.62622,8370648,18680000.31,337.26,12869999.89
NGA,Nigeria,1/1/90,92.14907834,67.6197064,11333885340,6.459,54035795388,11.77688593,31936586,46.037,9608966833,24.87100823,2145.8665,95214257,267920013.4,237.86,219389999.4
NIC,Nicaragua,1/1/90,94.54093425,33.44690045,251842580.6,4.596,1009455484,-0.052499721,1327245,63.096,void,6.71830601,2553.2358,4227820,29159999.85,103.58,9520000.458
NLD,Netherlands,1/1/90,45.10931985,59.41943128,1.73219E+11,1.62,3.18331E+11,4.183222986,6982138,76.87804878,53162933559,0.590377161,60940.926,14951510,203820007.3,44.02,202339996.3
NOR,Norway,1/1/90,54.43898027,2.672186265,47221272585,1.93,1.19792E+11,1.932419827,2154876,76.53731707,12352988162,7.693267764,116793.99,4241473,31079999.92,24.2,46119998.93
NPL,Nepal,1/1/90,82.37199535,28.98181818,381884707.7,5.208,3627562403,4.635036347,4746794,54.833,208920879.5,1.746703903,282.64832,19616530,20200000.76,339.76,21360000.61
NRU,Nauru,1/1/90,73.28037552,20,void,void,void,void,void,void,void,void,58062.656,9598,129999.9952,93.65,129999.9952
NZL,New Zealand,1/1/90,52.23654866,61.45607839,12175342138,2.18,45495129385,0.152972927,1631527,75.37804878,8093587522,2.086232108,54837.26,3329800,45240001.68,12.27,71129997.25
OMN,Oman,1/1/90,86.36492732,3.489499192,5518855657,6.606,11685045514,-0.130425738,561876,69.782,void,52.02190004,27078.545,1804524,19440000.53,214.02,19440000.53
PAK,Pakistan,1/1/90,89.36013232,45.66988377,5917028935,6.364,40010423970,4.458586815,32045923,60.066,6185621465,1.874043954,2646.9731,115414069,167899993.9,242.97,159850006.1
PAN,Panama,1/1/90,68.1262734,28.57142857,3699099600,3.096,6433967000,8.098993006,857042,71.097,984865900,0.270038518,21539.416,2449968,13850000.38,50.07,7840000.153
PER,Peru,1/1/90,75.41901742,17.52891336,4145688961,3.912,26410386669,-4.982563536,7921715,65.106,void,9.372375302,4845.4536,22109099,104150001.5,104.83,44279998.78
PHL,Philippines,1/1/90,78.19620124,37.36123688,9795179684,4.352,50508286642,3.082672529,22536084,65.909,void,1.689700554,2985.6091,61558898,97980003.36,133.68,95519996.64
PLW,Palau,1/1/90,56.85711355,9.347826087,void,2.84,void,void,void,69.06926829,void,void,,15293,9999.999776,26.56,9999.999776
PNG,Papua New Guinea,1/1/90,80.17198741,1.936580842,1308008919,5.18,3219730365,-3.012169222,1628069,59.721,288772929.5,22.92875305,2893.5044,3864972,37959999.08,298.91,7989999.771
POL,Poland,1/1/90,53.89405345,61.356884,void,2.06,65977749037,void,17534527,70.8902439,void,3.422484598,31797.018,38110782,407179992.7,124.38,420329986.6
PRT,Portugal,1/1/90,51.76988278,43.31147541,22960185628,1.56,78713860217,3.950522763,4674133,73.96585366,void,0.353535881,19831.854,9983218,57740001.68,34.99,56209999.08
PRY,Paraguay,1/1/90,82.74380765,35.701334,3035291402,4.547,5812114523,4.123282879,1647179,67.944,841835266.9,2.701855165,16671.078,4059195,75180000.31,86.07,32340000.15
QAT,Qatar,1/1/90,39.57313547,5.254091301,void,4.176,7360439423,void,263836,73.982,void,48.95626269,178492.95,441675,15380000.11,195.93,15380000.11
ROU,Romania,1/1/90,51.62235168,64.39502943,6522727273,1.83,38995454545,void,12228569,69.74121951,void,4.929191067,32195.12,23201835,224740005.5,129.52,224029998.8
RWA,Rwanda,1/1/90,104.2337428,76.16538306,143182955.2,6.873,2550185618,-2.399291098,2396168,48.431,466811075,4.725729727,481.07758,7319962,5210000.038,311.65,2289999.962
SAU,Saudi Arabia,1/1/90,78.38486249,57.44130549,47445927904,5.83,1.1763E+11,15.19342589,5000971,68.948,10049383356,47.47748574,58003.78,16004763,241009994.5,156.35,241009994.5
SDN,Sudan,1/1/90,101.7783686,51.72979798,1352844444,6.168,33641222222,-5.470053776,5537881,49.732,2804444444,0.001775623,883.2414,21090886,70660003.66,293.9,49389999.39
SEN,Senegal,1/1/90,98.67355908,46.06554823,1260610850,6.396,7390967035,-0.746282224,2058752,56.948,void,1.874699258,1411.758,7536001,18100000.38,215.66,12680000.31
SGP,Singapore,1/1/90,37.30699785,2.985074627,64045069989,1.83,36144336769,9.820899557,1464045,75.29512195,8820745526,0.000920372,90365.29,3047132,30860000.61,63.34,30909999.85
SLB,Solomon Islands,1/1/90,94.01213732,2.429439085,99652665.64,5.66,214877638.4,2.2,147854,65.392,void,7.868425379,2171.5269,324171,4300000.191,527.89,379999.9952
SLE,Sierra Leone,1/1/90,88.32641776,39.13826545,225361107.7,6.567,649644826.8,3.349997984,1590637,44.057,28089251.45,19.7972836,988.82074,4325388,7010000.229,299.04,3579999.924
SLV,El Salvador,1/1/90,82.11588047,65.30501931,891100175.4,3.947,4817542204,4.832900578,1896220,62.55,901682576.3,0.835429774,2928.4937,5367179,7949999.809,101.24,6860000.134
SOM,Somalia,1/1/90,99.29650637,70.2043549,89748800.18,7.44,917044228,-1.484075684,1242605,47.105,40602926.67,13.48648247,581.289,6999096,41889999.39,353.9,24540000.92
SRB,Serbia,1/1/90,42.96100779,40.44134461,void,void,void,void,3580136,void,void,void,,7586000,79559997.56,163.86,82470001.22
SSD,South Sudan,1/1/90,91.80557731,void,void,7.988,void,void,1849671,29.935,void,void,,4750817,37090000.15,242.36,29020000.46
STP,Sao Tome and Principe,1/1/90,100.2312735,43.75,void,5.828,void,void,36752,61.471,void,void,2329.3748,120343,70000.0003,220.13,59999.99866
SUR,Suriname,1/1/90,67.57173712,0.564102564,void,3.267,388400000,-4.500000001,126280,64.23,37100000,25.02898114,24363.615,412756,6110000.134,103.63,2859999.895
SVN,Slovenia,1/1/90,46.20996928,28.00397219,14747182203,1.46,void,void,909400,73.20487805,void,void,34892.688,1998161,7900000.095,68.82,17299999.24
SWE,Sweden,1/1/90,55.55796477,8.378756109,73113159931,2.13,2.61846E+11,0.754674769,4711028,77.53682927,48125907785,0.454212805,79817.4,8558835,70510002.14,17.52,68650001.53
SWZ,Eswatini,1/1/90,101.4081883,71.97674419,657911722.6,5.25,1114703088,21.01800054,242925,63.072,350257024.7,5.594683013,4038.2307,854011,2059999.943,212.77,2160000.086
SYC,Seychelles,1/1/90,67.56750241,8.695652174,56494406.87,void,368584758.9,6.99554469,void,68.10731707,37212614.06,0.124123298,25396.04,69507,219999.9988,50.33,219999.9988
TCD,Chad,1/1/90,102.1287962,38.35768742,234367649.9,7.219,1738605558,-4.178472373,2222984,44.686,238555426.8,7.517348187,243.53957,5827069,24920000.08,279.39,15409999.85
TGO,Togo,1/1/90,92.78350157,58.09891524,545098033.2,6.133,1628427515,-0.243656134,1264812,54.37,161676888.1,6.111693295,767.9702,3875947,6269999.981,239.69,3559999.943
THA,Thailand,1/1/90,52.10977624,41.85441093,29129233355,2.09,85343063966,11.16716344,29031951,70.445,23216390870,1.092825284,6476.0684,55228410,173050003.1,111.15,158690002.4
TJK,Tajikistan,1/1/90,88.59857681,32.07344956,void,5.342,2631768953,-0.599999631,1372150,61.879,653429602.9,0.78284048,,5417860,17899999.62,192.5,17870000.84
TKM,Turkmenistan,1/1/90,78.90622408,75.22396953,void,4.243,3188097768,35.38455811,1113708,63.939,void,77.75495023,40827.95,3720278,111389999.4,111.85,111389999.4
TON,Tonga,1/1/90,80.76570968,44.44444444,38464269.18,4.644,113563821.6,-2.044091435,32704,67.294,5821114.37,0.079082109,3978.3167,98727,250000,121.69,250000
TTO,Trinidad and Tobago,1/1/90,63.78737542,15.00974659,void,2.382,5068000000,1.509167843,484162,68.272,void,20.61050446,54953.477,1266518,20170000.08,80.4,20090000.15
TUN,Tunisia,1/1/90,73.90165641,59.15937178,5353409091,3.471,12290568182,7.949819437,2524360,70.11,2075454545,6.913500208,6962.2285,8440023,20329999.92,89.87,21250000
