Index,Country_Code,Country_Name,Year,age_dependency_ratio,agricultural_land,fertility_rate,GDP,labor_force ,life_expectancy,natural_resources_rents,energy_consumption_per_capita  ,population ,GHG_with_LUCF  ,deaths_air_pollute,GHG_without_LUCF  
817,BFA,Burkina Faso,1/1/92,102.18,34.81,6.94,3356692518,4222905,49.44,6.39,248.54,9598555,26250000,247.56,12720000.27
818,BGD,Bangladesh,1/1/92,83.22,73.36,4.03,31708874594,37679443,57.64,0.52,698.38,111272102,119300003.1,257.9,96599998.47
819,BHR,Bahrain,1/1/92,56.17,12.68,3.52,4751063830,239840,72.95,22.88,127168.41,554470,17549999.24,211.32,17559999.47
820,BLZ,Belize,1/1/92,91.83,5.96,4.35,693500000,61427,69.98,0.64,7151.61,190299,13609999.66,69.72,6980000.02
821,BOL,Bolivia,1/1/92,79.32,33.08,4.71,5643893347,3059982,57.63,3.86,3885.05,7394419,114910003.7,168.43,33159999.85
822,BRA,Brazil,1/1/92,63.85,27.76,2.72,3.28E+11,65276713,66.71,2.52,10651.18,155900790,1669790039,85.64,621450012.2
823,BRB,Barbados,1/1/92,52.81,44.19,1.73,1957000000,131733,72.92,0.32,22581.99,260212,3380000.11,50.39,3380000.11
824,BTN,Bhutan,1/1/92,81.13,10.79,5.27,240215763.9,225170,57.42,7.94,7066.25,545944,-5820000.17,241.84,769999.98
825,BWA,Botswana,1/1/92,90.88,45.61,4.23,4146513722,465899,58.35,1.97,7999.8,1420695,53970001.22,201.28,12689999.58
826,CHE,Switzerland,1/1/92,46.83,40.38,1.58,2.80E+11,3880814,77.81,0.02,50348.56,6875364,53470001.22,31.76,54930000.31
827,CHL,Chile,1/1/92,55.86,20.92,2.48,45964327559,5272826,74.14,4.63,14090.1,13782297,28540000.92,55.27,45720001.22
828,CIV,Cote d'Ivoire,1/1/92,96.57,60.38,6.46,11152971316,4500438,52.14,3.46,1451.99,12838314,75069999.69,252.99,14640000.34
829,CMR,Cameroon,1/1/92,99.99,19.38,6.29,12071775381,5350772,54.48,7.73,1903.35,12128604,81529998.78,205.91,27440000.53
830,COL,Colombia,1/1/92,66,40.54,3.01,58418985443,14593105,69.04,3.77,8019.39,33939039,220740005.5,82.89,127940002.4
831,CRI,Costa Rica,1/1/92,67.2,42.3,3.04,8564044017,1199255,76.63,2.57,8265.61,3321939,12439999.58,43.57,9949999.81
832,CUB,Cuba,1/1/92,44.79,63.08,1.56,22085858243,4363499,74.16,0.99,11187.33,10783748,28659999.85,52.45,39439998.63
833,CYP,Cyprus,1/1/92,52.34,17.27,2.46,6912150456,363014,74.18,0.01,28128.94,810431,6329999.92,68.78,6389999.87
834,DEU,Germany,1/1/92,45.71,48.55,1.29,2.13E+12,39606054,75.82,0.1,49988.61,80624598,1004450012,45.48,1055380005
835,DNK,Denmark,1/1/92,48.23,68.9,1.76,1.53E+11,2924273,75.19,0.32,42148.24,5171370,73800003.05,42.18,73459999.08
836,DOM,Dominican Republic,1/1/92,71.55,52.7,3.29,11605382504,2615850,68.08,0.8,5658.35,7427340,11100000.38,66.86,18350000.38
837,ECU,Ecuador,1/1/92,72.99,28.73,3.59,18094238119,4285085,70.12,7.97,8152.61,10914222,76709999.08,58.97,40130001.07
838,FIN,Finland,1/1/92,48.95,7.9,1.85,1.13E+11,2530714,75.46,0.43,65309.87,5041992,35319999.69,17.69,66449996.95
839,FJI,Fiji,1/1/92,71.05,22.89,3.36,1532401863,287849,65.83,1.02,6232.05,786859,-769999.98,157.52,1759999.99
840,FRA,France,1/1/92,52.53,55.49,1.74,1.40E+12,26197040,77.1,0.08,50099.13,58849943,481510009.8,25.85,506339996.3
841,GAB,Gabon,1/1/92,92.36,7.83,5.29,5592390849,299941,60.55,22.98,12873.19,1037446,14859999.66,169.99,11220000.27
842,GBR,United Kingdom,1/1/92,54.12,74.69,1.79,1.18E+12,28980863,76.43,0.48,44259.45,57580402,724820007.3,42.75,737289978
843,GHA,Ghana,1/1/92,96.42,55.9,5.47,6413901602,6728212,56.23,7.58,2042.32,16241548,22579999.92,207.16,12510000.23
844,GIN,Guinea,1/1/92,91.81,57.2,6.55,3284620543,2462037,48.36,16.89,761.12,6832195,20049999.24,281.4,9050000.19
845,GNB,Guinea-Bissau,1/1/92,106.67,20.71,6.4,226313443.7,313408,47.92,19.79,1174.85,1022904,3240000.01,337.61,1460000.04
846,GTM,Guatemala,1/1/92,95.18,39.99,5.31,10440842165,3266357,62.91,1.52,2619.81,9544055,29440000.53,223.39,12859999.66
847,GUY,Guyana,1/1/92,67.09,5.54,3.07,373573141.5,281276,62.79,25.51,4790.26,744998,9779999.73,136.01,2779999.97
848,HND,Honduras,1/1/92,95.38,29.98,5.09,4943700431,1910415,65.99,2.19,3333.22,5344774,17639999.39,119.81,11750000
849,HTI,Haiti,1/1/92,85.2,57.15,5.21,2257121668,2753408,53.84,1.17,623.84,7205780,6019999.98,298.29,5949999.81
850,IDN,Indonesia,1/1/92,63.61,22.83,2.94,1.28E+11,81684204,64.13,7.03,3801.79,188558416,1266979980,155.61,516349975.6
851,IND,India,1/1/92,71.38,60.98,3.88,2.88E+11,306936383,59.45,2.75,2812.74,907574049,1081280029,274.16,1298280029
852,ITA,Italy,1/1/92,44.88,54.33,1.3,1.32E+12,23418471,77.42,0.05,33524.94,56797087,443329986.6,45.16,477839996.3
853,JOR,Jordan,1/1/92,84.82,12.7,5.11,5310973816,850862,70.32,0.06,12181.21,3866887,21829999.92,101.57,21829999.92
854,KEN,Kenya,1/1/92,103.52,47.57,5.75,8209129172,9238191,57.26,5.38,1463.56,24655723,29350000.38,163.67,33680000.31
855,LKA,Sri Lanka,1/1/92,59.71,37.38,2.48,9703011636,6925874,72.53,0.51,1815.57,17736827,30159999.85,119.04,25510000.23
856,MAR,Morocco,1/1/92,74.71,68.6,3.81,33711069431,7853198,63.4,0.4,3692,25400676,34330001.83,126.43,39220001.22
857,MEX,Mexico,1/1/92,72.65,54.62,3.29,3.63E+11,31044537,70.62,3.27,15830.45,84993164,447970001.2,82.33,423429992.7
858,MKD,North Macedonia,1/1/92,49.63,51.4,2.12,2436849342,857483,71.24,1.07,14983.44,2018023,12649999.62,190.08,12649999.62
859,MLT,Malta,1/1/92,50.55,40.63,2.07,3021910217,142013,75.28,0,24135.17,367618,2410000.09,43.84,2410000.09
860,MNG,Mongolia,1/1/92,79.37,79.87,3.52,1317611864,811706,59.64,7.13,23671,2236494,34340000.15,262.34,30000000
861,MOZ,Mozambique,1/1/92,88.49,45.4,6.1,2639953231,6506644,44.95,13.71,400.54,13816881,84349998.47,250.5,19370000.84
862,MRT,Mauritania,1/1/92,91.4,38.5,6.04,2164292208,550276,60.26,3.65,6285.36,2147527,7239999.77,218.87,6849999.91
863,MUS,Mauritius,1/1/92,53.11,53.69,2.37,3224267548,459027,70.06,0.02,8599.06,1084441,2470000.03,69.75,2490000.01
864,MYS,Malaysia,1/1/92,65.68,20.72,3.38,59167550163,7296814,71.53,19.22,18381.81,18526708,210770004.3,80.02,94029998.78
865,NAM,Namibia,1/1/92,83.65,46.96,5.07,3429538534,466605,61.55,0.66,3435.41,1461687,19770000.46,200.31,9189999.58
866,NER,Niger,1/1/92,96.37,27.63,7.8,3386232592,3738273,42.95,4.22,413.75,8907644,19629999.16,328.72,13819999.69
867,NGA,Nigeria,1/1/92,91.07,70.76,6.39,47794925815,33747996,45.67,20.52,2298.76,100182045,298579986.6,235.64,250039993.3
868,NLD,Netherlands,1/1/92,45.65,58.83,1.59,3.63E+11,7195092,77.22,0.32,61985.13,15184166,208479995.7,41.25,207000000
869,NOR,Norway,1/1/92,54.69,2.75,1.88,1.31E+11,2149497,77.18,4.6,112226.19,4286401,28700000.76,21.76,43750000
870,NPL,Nepal,1/1/92,81.84,29.08,5.04,3401211581,5012671,56.71,1.89,322.02,20702133,20170000.08,324.13,21329999.92
871,NZL,New Zealand,1/1/92,52.39,60.61,2.12,41649829860,1721022,76.12,1.7,53858.69,3531700,45740001.68,11.5,71620002.75
872,PAK,Pakistan,1/1/92,91.05,45.9,6.21,48884606848,33922005,60.12,1.04,2778.58,122375179,180839996.3,249.02,172789993.3
873,PAN,Panama,1/1/92,66.22,28.92,2.95,8042337700,971984,71.46,0.24,20784.04,2554382,15010000.23,46.96,9010000.23
874,PER,Peru,1/1/92,73.37,17.63,3.67,35966302303,8334493,66.15,2.91,4494.65,23047248,103709999.1,93.09,43840000.15
875,PNG,Papua New Guinea,1/1/92,79.03,1.96,5.03,4377980510,1730614,60.22,20.8,2818.75,4136644,40009998.32,295.86,10039999.96
876,PRY,Paraguay,1/1/92,82.8,36.17,4.37,7157424031,1737596,68.4,2.58,15817.48,4277051,71459999.08,82.73,28620000.84
877,ROU,Romania,1/1/92,50.12,64.46,1.51,25121666667,12348267,69.78,4.27,24151.34,22794284,166729995.7,129.77,166009994.5
878,RWA,Rwanda,1/1/92,104.01,74.46,6.61,2029026704,2482499,44.32,6.1,470.51,7657208,5150000.1,324.95,2240000.01
879,SAU,Saudi Arabia,1/1/92,76.19,57.56,5.49,1.37E+11,5466973,69.93,33.89,56810.16,17281350,291769989,152.36,291769989
880,SDN,Sudan,1/1/92,102.41,52.19,6.05,7034219713,5760814,45.89,0.06,1097.81,21780059,75110000.61,281.36,53840000.15
881,SGP,Singapore,1/1/92,37.05,1.79,1.72,52130263966,1586419,75.95,0,92492.51,3230698,36630001.07,52.54,36680000.31
882,SLE,Sierra Leone,1/1/92,88.57,39,6.56,679997997.6,1580798,43.62,18.35,761.34,4301566,7010000.23,289.97,3569999.93
883,SLV,El Salvador,1/1/92,81.76,65.74,3.82,5813399300,1980613,64.66,0.78,3166.47,5552206,9109999.66,97.29,8020000.46
884,SWE,Sweden,1/1/92,56.4,8.21,2.09,2.84E+11,4593980,78,0.29,75456.63,8668067,73699996.95,15.71,71830001.83
885,SWZ,Eswatini,1/1/92,96.26,71.1,4.95,1284766234,267660,61.74,4.39,3733.95,925165,2190000.06,202.32,2279999.97
886,TCD,Chad,1/1/92,100.75,38.41,7.3,1881847677,2419195,46.1,7.23,220.76,6302926,32209999.08,275.75,22700000.76
887,TGO,Togo,1/1/92,91.36,58.93,5.95,1692959110,1348114,54.3,6.23,890.89,4106219,5800000.19,234.76,3089999.91
888,THA,Thailand,1/1/92,49.23,41.84,2.03,1.11E+11,30429579,70.89,0.68,7584.69,56939020,196729995.7,108.35,182369995.1
889,TON,Tonga,1/1/92,80.94,44.44,4.58,137066290.6,34207,67.69,0.07,3821.63,99260,250000,113.2,250000
890,TUN,Tunisia,1/1/92,70.39,60.21,3.18,15497286296,2682737,70.7,4.09,6370.34,8802540,22569999.69,89.12,23479999.54
891,TZA,Tanzania,1/1/92,95.54,36.05,6.08,4601413264,12917096,50.99,11.41,557.33,27580723,98599998.47,219.33,40229999.54
892,UGA,Uganda,1/1/92,105.34,60.32,6.96,2857457860,6706126,46.37,25.24,363.58,18801966,31340000.15,223.78,15310000.42
893,UKR,Ukraine,1/1/92,51.17,72.37,1.67,73945908384,24293892,68.77,4.6,48866.38,52150400,644429992.7,106.74,692869995.1
894,URY,Uruguay,1/1/92,58.78,85.28,2.42,12878199881,1359692,73.44,0.52,12807.3,3153732,18629999.16,31.13,31860000.61
895,VUT,Vanuatu,1/1/92,94.06,12.88,4.95,209088824.6,61068,67.35,0.85,1337.91,158577,519999.98,297.53,519999.98
896,ZAF,South Africa,1/1/92,75.33,79.53,3.48,1.47E+11,16002908,63.34,4.47,24593.38,41760755,330739990.2,107.15,323970001.2
897,ZWE,Zimbabwe,1/1/92,100.52,34.51,4.57,6751472200,3761641,56.44,10.82,5412.47,10641501,43810001.37,160.97,33209999.08
898,ARG,Argentina,1/1/93,63.56,46.72,2.97,2.37E+11,14693482,72.57,1.17,16980.98,34027240,302160003.7,46.21,256820007.3
899,AUS,Australia,1/1/93,50.03,59.89,1.86,3.12E+11,8619628,77.88,2.09,60350.93,17634808,544200012.2,11.64,489809997.6
900,AUT,Austria,1/1/93,48.61,36.34,1.5,1.90E+11,3684501,76.07,0.12,44542.98,7905633,61529998.78,42.08,75000000
901,AZE,Azerbaijan,1/1/93,65.13,53.55,2.7,1570000000,3708187,61.29,38.23,24028.1,7494800,60119998.93,171.31,61689998.63
902,BDI,Burundi,1/1/93,115.25,82.67,7.27,938632612,2410298,37.11,14.24,334.37,5555220,7239999.77,317.45,1840000.03
903,BEN,Benin,1/1/93,95.09,20.57,6.51,2274557914,2255088,54.54,5.67,639.83,5706181,19969999.31,257.1,4420000.08
904,BFA,Burkina Faso,1/1/93,102.29,34.72,6.89,3199536228,4290284,49.21,5.6,269.01,9840075,26500000,245.7,12970000.27
905,BGD,Bangladesh,1/1/93,81.49,72.57,3.85,33166519418,38782427,57.93,0.43,753.28,113418757,120750000,252.03,98050003.05
906,BHR,Bahrain,1/1/93,55.55,12.68,3.42,5200265957,248928,73.38,20.24,146765.97,573755,18559999.47,200.55,18559999.47
907,BLZ,Belize,1/1/93,90.41,6.27,4.2,751000000,63068,69.99,0.58,6990.59,194177,13680000.31,68.65,7039999.96
908,BOL,Bolivia,1/1/93,79.2,33.43,4.59,5734676631,3141723,58.42,3.59,3756.72,7544489,113599998.5,162.52,31850000.38
909,BRA,Brazil,1/1/93,62.74,27.59,2.67,3.68E+11,66978150,67.11,2.1,10949.23,158440875,1681119995,82.89,632780029.3
910,BRB,Barbados,1/1/93,52.18,44.19,1.73,2063342117,133917,73.19,0.28,21941.89,260995,3230000.02,50.29,3230000.02
911,BTN,Bhutan,1/1/93,80.64,10.81,5.07,225998091.2,215044,58.12,6.52,7435.91,520838,-5809999.94,237.44,769999.98
912,BWA,Botswana,1/1/93,88.75,45.79,4.13,4160086253,483379,57.72,1.15,7541.65,1462262,53630001.07,201.57,12350000.38
913,CHE,Switzerland,1/1/93,47.24,40.26,1.51,2.72E+11,3904542,78.09,0.02,49807.94,6938265,51119998.93,30.13,52569999.69
914,CHL,Chile,1/1/93,55.85,20.82,2.43,49297773130,5429573,74.2,3.36,14660.84,13998386,31090000.15,53.25,48270000.46
915,CIV,Cote d'Ivoire,1/1/93,95.11,61.33,6.31,11045759469,4697202,51.93,3.37,1573.74,13316448,77750000,254.2,17329999.92
916,CMR,Cameroon,1/1/93,99.78,19.38,6.19,16181813512,5510627,54.06,5.05,1635.67,12486773,79220001.22,206.52,25139999.39
917,COL,Colombia,1/1/93,65.33,40.47,2.97,66446804803,15034014,69.34,3.15,8674.16,34614735,225600006.1,79.71,132800003.1
918,CRI,Costa Rica,1/1/93,66.51,41.38,2.96,9582866263,1255519,76.7,2.2,8771.87,3405372,12520000.46,41.05,10039999.96
919,CUB,Cuba,1/1/93,44.69,62.66,1.49,22367254865,4331548,74.26,0.76,10875.77,10840934,25229999.54,52.49,36000000
920,CYP,Cyprus,1/1/93,52.49,17.18,2.25,6590291048,370304,74.65,0.01,28680.85,825986,6599999.91,69.45,6670000.08
921,CZE,Czechia,1/1/93,48.48,55.42,1.67,40866748705,5089950,72.77,0.98,46431.32,10329855,146750000,86.94,156179992.7
922,DEU,Germany,1/1/93,46,49.16,1.28,2.07E+12,39581565,75.87,0.08,49538.95,81156363,995960022,44.09,1046880005
923,DNK,Denmark,1/1/93,48.25,68.48,1.75,1.43E+11,2898901,75.12,0.36,44534.79,5188628,76430000.31,41.26,76089996.34
924,DOM,Dominican Republic,1/1/93,70.89,52.7,3.23,13081042400,2692489,68.47,0.27,5201.97,7576074,11590000.15,63.72,18840000.15
925,ECU,Ecuador,1/1/93,72.36,28.81,3.52,18938717359,4389776,70.35,7.38,8284.63,11132829,78300003.05,54.11,41720001.22
926,FIN,Finland,1/1/93,49.18,7.83,1.81,89214114708,2511334,75.71,0.55,65549.23,5066447,36560001.37,16.82,67690002.44
927,FJI,Fiji,1/1/93,70.17,22.57,3.32,1636074718,290060,65.93,1.54,6535.41,789198,-709999.98,155.92,1820000.05
928,FRA,France,1/1/93,52.73,55.32,1.73,1.32E+12,26351924,77.3,0.07,49941.85,59106166,462519989,25.06,487350006.1
929,GAB,Gabon,1/1/93,91.97,7.85,5.19,4378645081,308208,60.72,28.89,11872.44,1065390,15189999.58,164.05,11550000.19
930,GBR,United Kingdom,1/1/93,54.42,72.48,1.76,1.06E+12,28773930,76.39,0.55,44663.29,57718614,706270019.5,41.84,718739990.2
931,GHA,Ghana,1/1/93,95.18,56.25,5.36,5966255778,6915425,56.42,9.59,1961.43,16643633,22799999.24,202.29,12729999.54
932,GIN,Guinea,1/1/93,92.21,57.19,6.49,3279096606,2535696,48.96,13.55,771.79,7046097,20409999.85,277.32,9409999.85
933,GNB,Guinea-Bissau,1/1/93,104.98,21.42,6.32,236880821.7,324862,48.23,15.97,1246.02,1056761,3269999.98,333.31,1490000.01
934,GTM,Guatemala,1/1/93,94.75,41.83,5.25,11399942453,3365505,63.35,1.37,2726.42,9790619,30079999.92,224.26,13500000
935,GUY,Guyana,1/1/93,66.84,5.56,3.07,454101382.5,284024,63.15,31.66,6093.41,747189,9920000.08,142.55,2910000.09
936,HND,Honduras,1/1/93,94.06,31.71,5,4926728933,1980723,66.25,1.83,3232.19,5496841,17450000.76,116.93,11550000.19
937,HTI,Haiti,1/1/93,84.82,57.15,5.1,1878248741,2796148,54.35,1.25,463.11,7345940,5650000.1,293.12,5579999.92
938,IDN,Indonesia,1/1/93,62.39,23.19,2.88,1.58E+11,82891258,64.6,5.62,3983.8,191737287,1282349976,152.49,531719970.7
939,IND,India,1/1/93,70.81,61.01,3.8,2.79E+11,314332868,59.82,2.43,2824.25,926351297,1114219971,268.49,1331219971
940,ITA,Italy,1/1/93,45.12,54.1,1.25,1.06E+12,23260673,77.72,0.06,32795.35,56831821,437369995.1,43.52,471880004.9
941,JAM,Jamaica,1/1/93,73.84,46.45,2.96,5440064773,1109934,71.92,4.26,13928.32,2459062,10380000.11,63.2,10010000.23
942,JOR,Jordan,1/1/93,81.44,12.35,4.96,5606003752,917992,70.52,0.06,11432.91,4075759,22559999.47,105.16,22559999.47
943,KEN,Kenya,1/1/93,102.14,47.16,5.57,5751789915,9560699,56.62,6.77,1466.03,25391830,29120000.84,161.39,33450000.76
944,LKA,Sri Lanka,1/1/93,58.69,37,2.41,10338679636,7065994,73.05,0.44,1957.91,17924827,30469999.31,110.76,25819999.69
945,MAR,Morocco,1/1/93,73.36,68.81,3.61,31655473664,8089403,63.87,0.31,3672.13,25806777,34020000.46,126.49,38909999.85
946,MEX,Mexico,1/1/93,71.36,54.62,3.22,5.01E+11,32218062,70.94,2.26,15607.47,86648447,465290008.5,80.86,440750000
947,MKD,North Macedonia,1/1/93,50.45,51,2.1,2682456897,841040,71.93,0.79,15163.27,1996893,12659999.85,191.51,12659999.85
948,MLT,Malta,1/1/93,50.26,40.63,1.96,2709178327,144151,76.6,0,25248.36,371308,3059999.94,42.31,3059999.94
949,MNG,Mongolia,1/1/93,77.59,76.98,3.16,768401634.2,833089,60.04,8.41,21398.94,2270311,33130001.07,259.74,28790000.92
950,MOZ,Mozambique,1/1/93,88.14,45.67,6.03,2729550591,6694131,45.35,11.46,420.22,14206254,85069999.69,245.47,20090000.15
951,MRT,Mauritania,1/1/93,89.83,38.51,6.04,1847350612,577043,60.38,3.65,6176.07,2237064,7460000.04,214.12,7059999.94
952,MUS,Mauritius,1/1/93,52.29,52.71,2.21,3263368410,466856,70.11,0.03,8552.08,1097374,2630000.11,69.79,2650000.1
953,MYS,Malaysia,1/1/93,65.19,20.98,3.37,66894837030,7519714,71.83,16.28,17979.7,19050077,217440002.4,78.29,100699996.9
954,NAM,Namibia,1/1/93,83.48,47.01,4.89,3251230621,481475,60.86,0.48,4182.52,1509834,19739999.77,196.79,9159999.85
955,NER,Niger,1/1/93,96.2,27.63,7.79,3052673623,3860921,43.82,4.02,422.27,9193078,20290000.92,325.77,14479999.54
956,NGA,Nigeria,1/1/93,90.41,71.41,6.35,27752204320,34697305,45.79,31.77,2274.81,102775465,295339996.3,234.82,246800003.1
957,NLD,Netherlands,1/1/93,45.89,58.89,1.57,3.54E+11,7256259,76.92,0.36,62091.72,15290368,213820007.3,41.34,212339996.3
958,NOR,Norway,1/1/93,54.76,2.77,1.86,1.21E+11,2151867,77.15,5.13,115124.07,4311991,31149999.62,20.96,46200000.76
959,NPL,Nepal,1/1/93,81.58,29.16,5,3660041667,5156013,57.62,1.52,320.27,21267359,20979999.54,319.74,22139999.39
960,NZL,New Zealand,1/1/93,52.62,60.46,2.05,46775620817,1739037,76.43,1.84,54794.23,3572200,44930000.31,11.25,70809997.56
961,PAK,Pakistan,1/1/93,91.95,46.38,6.11,51809949334,34315720,59.93,0.92,2997.4,125546615,190589996.3,252,182539993.3
962,PAN,Panama,1/1/93,65.33,28.92,2.91,8782585400,1023234,71.8,0.19,20443.45,2607499,15270000.46,46.94,9260000.23
963,PER,Peru,1/1/93,72.32,17.68,3.55,34832077221,8697441,66.68,2.33,4803.71,23513882,104779998.8,88.92,44909999.85
964,PNG,Papua New Guinea,1/1/93,78.39,1.97,4.96,4974550286,1781533,60.51,21.92,2760.27,4291588,41069999.69,292.46,11100000.38
965,PRY,Paraguay,1/1/93,82.7,36.17,4.28,7249533620,1790709,68.63,2.65,17417.3,4386202,71650001.53,83.42,28809999.47
966,ROU,Romania,1/1/93,49.47,64.47,1.43,26362894737,12271978,69.56,3.62,23555.58,22763280,155929992.7,127.96,155220001.2
967,RWA,Rwanda,1/1/93,103.19,70.13,6.51,1971525999,2546802,42.17,4.95,417.22,7904740,5079999.92,333.68,2170000.08
968,SAU,Saudi Arabia,1/1/93,74.61,60.84,5.32,1.33E+11,5636448,70.3,32.55,56193.2,17846461,289619995.1,150.42,289619995.1
969,SDN,Sudan,1/1/93,102.15,53.34,5.96,8881785938,5886241,46.58,0.08,1023.15,22163251,77029998.78,275.47,55759998.32
970,SGP,Singapore,1/1/93,36.77,1.79,1.74,60603478153,1643563,76.05,0,97840.09,3313471,43090000.15,49.01,43139999.39
971,SLE,Sierra Leone,1/1/93,88.72,38.94,6.57,768812334.8,1577035,43.59,11.78,761.14,4295689,7090000.15,283.18,3660000.09
972,SLV,El Salvador,1/1/93,80.8,65.96,3.73,6680269200,2051766,65.24,0.56,3235.33,5630987,9579999.92,96.31,8500000
973,SWE,Sweden,1/1/93,56.79,8.24,1.99,2.13E+11,4505440,78.06,0.38,74274.73,8718561,73660003.66,15.03,71790000.92
974,SWZ,Eswatini,1/1/93,94.89,71.05,4.77,1357206996,276867,60.23,4.23,3610.69,953451,2009999.99,195.45,2099999.91
975,TCD,Chad,1/1/93,103.19,38.44,7.34,1463251055,2446150,46.32,8.51,103.54,6448280,33209999.08,276.84,23700000.76
976,TGO,Togo,1/1/93,90.55,59.39,5.85,1233496846,1342827,54.2,7.36,770.78,4078392,5679999.83,233.43,2970000.03
977,THA,Thailand,1/1/93,48.09,41.58,1.99,1.29E+11,31089355,71.07,0.55,8488.45,57776082,212789993.3,105.64,198429992.7
978,TJK,Tajikistan,1/1/06,71.93,33.83,3.39,2830220713,1915780,67.01,0.87,9612.62,7057417,7579999.92,204.78,7929999.83
979,TKM,Turkmenistan,1/1/07,55.76,73.52,2.68,12664165103,1742901,66.9,63.94,34462.89,5024894,126400001.5,117.18,126569999.7
980,TON,Tonga,1/1/93,81.13,44.44,4.55,138489884.4,34939,67.86,0.08,3804.45,99492,259999.99,111.6,259999.99
981,TUN,Tunisia,1/1/93,68.62,60.65,3.02,14608946896,2774038,71.24,3.69,7130.22,8977173,22799999.24,88.3,23719999.31
982,TZA,Tanzania,1/1/93,94.81,36.47,6.01,4257702197,13373576,50.87,10.73,562.82,28469017,99220001.22,217.13,40849998.47
983,UGA,Uganda,1/1/93,105.74,60.47,6.93,3220439044,6926204,46.24,19.5,354.1,19462958,31670000.08,226.86,15640000.34
984,UKR,Ukraine,1/1/93,51.51,72.31,1.56,65607522124,24266616,68.13,2.62,42841.75,52179200,560950012.2,110.93,609390014.6
985,URY,Uruguay,1/1/93,58.71,85.3,2.4,15002106518,1347025,73.58,0.44,13022.81,3171747,19159999.85,30.79,32400001.53
986,VUT,Vanuatu,1/1/93,94.05,13.04,4.89,200491853.2,62666,67.53,0.96,1302.04,162548,550000.01,298.81,540000.02
987,ZAF,South Africa,1/1/93,75.95,79.91,3.37,1.47E+11,16207343,63.05,3.99,24109.29,42525440,341309997.6,103.13,334540008.5
988,ZWE,Zimbabwe,1/1/93,99.72,34.95,4.39,6563813300,3824653,54.43,8.72,5147.96,10794918,40250000,156.44,29649999.62
989,ARG,Argentina,1/1/94,63.28,46.75,2.94,2.57E+11,15067576,73.17,1.05,17650.65,34488696,305549987.8,43.91,260200012.2
990,AUS,Australia,1/1/94,50.15,61.07,1.84,3.23E+11,8780806,77.88,1.99,62085.63,17805468,550169982.9,11.34,495779998.8
991,AUT,Austria,1/1/94,48.88,36.28,1.47,2.04E+11,3851283,76.42,0.12,44102.5,7936118,61599998.47,40.47,75069999.69
992,AZE,Azerbaijan,1/1/94,65.08,53.91,2.52,1193312102,3870976,61.59,41.67,21844.43,7596550,40790000.92,179.03,42369998.93
993,BDI,Burundi,1/1/94,115.89,80.72,7.23,925030590.2,2394789,44.08,17.06,348.38,5586408,7139999.87,315.62,1740000.01
994,BEN,Benin,1/1/94,94.34,21.28,6.41,1598075932,2345579,54.91,9.07,644.88,5923394,20239999.77,255.16,4679999.83
995,BFA,Burkina Faso,1/1/94,102.12,34.47,6.84,1895290623,4364455,49.31,11.6,292.53,10091256,26959999.08,244.22,13420000.08
996,BGD,Bangladesh,1/1/94,79.72,71.89,3.77,33768660883,39939213,58.62,0.4,784.42,115614891,123370002.7,246.31,100669998.2
997,BHR,Bahrain,1/1/94,54.63,12.68,3.26,5567553457,258713,73.52,16.51,139849.06,593254,19030000.69,194.92,19030000.69
998,BLR,Belarus,1/1/94,52.09,46.07,1.53,14932024169,4700525,68.77,1.57,26902.42,10226955,60130001.07,103.11,93099998.47
999,BLZ,Belize,1/1/94,88.86,6.27,4,771500000,64686,70.32,0.53,6527.68,198416,13779999.73,68.58,7150000.1
1000,BOL,Bolivia,1/1/94,79.24,33.56,4.49,5981244865,3228443,58.99,4.42,4114.72,7693722,112830001.8,155.22,31079999.92
1001,BRA,Brazil,1/1/94,61.6,27.42,2.62,5.25E+11,68722272,67.57,1.38,11320.29,160980472,1697939941,78.17,649590026.9
1002,BRB,Barbados,1/1/94,51.71,44.19,1.73,2151344901,136015,73.21,0.23,20752.27,261712,3299999.95,50.18,3299999.95
1003,BTN,Bhutan,1/1/94,79.99,12.79,4.87,258985597.7,215609,58.64,5.36,7941.44,521260,-5800000.19,233.08,779999.97
1004,BWA,Botswana,1/1/94,86.59,45.87,4.01,4259330999,500969,56.15,1.63,7301.16,1503544,53860000.61,203.61,12579999.92
1005,CHE,Switzerland,1/1/94,47.57,40.14,1.49,3.01E+11,3881031,78.35,0.02,51916.38,6993795,50240001.68,28.89,51700000.76
1006,CHL,Chile,1/1/94,55.79,20.78,2.38,57008425296,5571433,74.61,4.89,15163.33,14210674,35099998.47,50.92,52270000.46
1007,CIV,Cote d'Ivoire,1/1/94,93.61,61.95,6.16,8313557450,4898928,51.74,5.27,1566.45,13802285,80580001.83,255.48,20159999.85
1008,CMR,Cameroon,1/1/94,99.4,19.38,6.08,8902446188,5675655,53.53,8.22,1696.96,12848862,132539993.3,206.06,78459999.08
1009,COL,Colombia,1/1/94,64.58,40.44,2.92,81703500846,15502542,69.61,2.43,9144.7,35295461,228110000.6,77.07,135309997.6
1010,CRI,Costa Rica,1/1/94,65.63,41.03,2.89,10486784805,1305626,76.67,2.37,8673.12,3489152,12939999.58,41,10449999.81
1011,CUB,Cuba,1/1/94,44.78,62.25,1.46,28448326757,4355052,74.41,0.67,10947.53,10887207,26659999.85,51.63,37439998.63
