Index,Country_Code,Country_Name,Year,age_dependency_ratio,agricultural_land,fertility_rate,GDP,labor_force ,life_expectancy,natural_resources_rents,energy_consumption_per_capita  ,population ,GHG_with_LUCF  ,deaths_air_pollute,GHG_without_LUCF  
43,MDV,Maldives,1/1/99,82.28,26.67,2.96,589239753.6,87989,70.09,0.01,4872.39,278111,509999.99,115.78,509999.99
44,MMR,Myanmar,1/1/90,68.81,15.96,3.54,2036373523,19446398,56.66,2.31,626.52,40099553,208110000.6,358.4,55650001.53
45,MMR,Myanmar,1/1/91,67.84,15.94,3.45,2137184858,19883240,57.01,1.88,611.5,40680533,207520004.3,357.47,55060001.37
46,MMR,Myanmar,1/1/92,66.9,15.91,3.36,2216072577,20129670,57.25,1.75,630.84,41237813,210259994.5,355.16,57790000.92
47,MMR,Myanmar,1/1/93,65.94,15.98,3.28,2809748387,20436159,57.63,1.08,665.23,41788302,212929992.7,352.31,60470001.22
48,MMR,Myanmar,1/1/94,64.93,15.95,3.19,3821535780,20723972,57.96,0.91,768.19,42337109,215570007.3,348.51,63110000.61
49,MMR,Myanmar,1/1/95,63.88,15.99,3.11,4879257848,21026004,58.26,0.94,804.47,42880186,218720001.2,344.68,66230003.36
50,MMR,Myanmar,1/1/96,62.8,16.07,3.04,5759624742,21342755,58.94,0.78,802.51,43423369,216320007.3,340.25,66300003.05
51,MMR,Myanmar,1/1/97,61.68,16.1,2.96,5633070603,21686760,59.24,0.52,844.21,43972046,214000000,335.07,65129997.25
52,MMR,Myanmar,1/1/98,60.48,16.09,2.89,4613071495,22036882,59.79,0.3,923.95,44516185,220309997.6,329.87,66779998.78
53,MMR,Myanmar,1/1/99,59.24,16.23,2.83,5643818689,22287589,59.88,0.16,925.75,45041636,225429992.7,323.78,71459999.08
54,POL,Poland,1/1/91,53.53,61.23,2.07,85500935935,17682717,70.59,2.16,31025.54,38246193,406010009.8,127.51,419160003.7
55,POL,Poland,1/1/92,53.02,61.19,1.95,94337050693,17755587,71.09,1.73,29603.37,38363667,395059997.6,122.75,408200012.2
56,POL,Poland,1/1/93,52.47,61.1,1.87,96045645026,17718063,71.6,1.26,29537.27,38461408,395619995.1,116.66,408769989
